palabra,conteo
a,785774
analitica,17368
anchos,27627
ante,99832
archivo0001,13629
archivo0002,12531
archivo0003,11832
archivo0032,4510
archivo0034,4536
archivo0051,3342
bloque0006,10210
bloque0007,9906
bloque0016,6909
bloque0047,3526
bloque0055,3128
bloque0057,2992
bloque0058,3037
bloque0060,2959
bloque0064,2789
buffer0002,12152
buffer0028,4901
buffer0030,4785
buffer0040,3943
buffer0047,3477
buffer0055,3055
campo,33526
cluster0026,5324
cluster0028,5019
cluster0040,3948
cluster0044,3649
cluster0045,3556
cluster0056,3026
cluster0061,2849
consulta0003,11653
consulta0007,9720
consulta0010,8511
consulta0021,5925
consulta0044,3656
consulta0056,3059
consultas,41724
conteo,40420
dato0002,12873
dato0013,7792
dato0022,6025
dato0039,4036
dato0042,3784
dato0046,3540
dato0047,3595
desbalance,23478
directorios,47498
esclavo,28578
evento0006,10041
evento0010,8601
evento0012,7801
evento0017,6796
evento0022,5918
evento0033,4503
evento0040,3927
filtrado,17093
frecuente,16552
funcion0002,12185
funcion0003,11375
funcion0004,10897
funcion0008,9163
funcion0036,4305
funcion0043,3700
funcion0053,3193
funcion0054,3043
gather,24297
indexacion,17178
indice0002,12651
indice0014,7337
indice0017,6733
indice0025,5464
indice0036,4243
indice0037,4218
indice0040,3958
indice0054,3214
indice0063,2794
individual,15689
infrecuente,16440
lote,13707
maestro,28624
matriz,19280
matriz0036,4309
matriz0037,4174
matriz0042,3748
matriz0046,3547
matriz0055,3153
matriz0057,3066
mensaje0006,10056
mensaje0013,7615
mensaje0015,7134
mensaje0019,6369
mensaje0037,4214
mensaje0040,3799
mensaje0050,3369
mensaje0057,3001
mensajes,26616
mios,58420
modulo0008,9159
modulo0015,7017
modulo0036,4291
modulo0045,3594
modulo0050,3276
nodo0016,7040
nodo0033,4536
nodo0062,2838
nodos,30804
otra,83901
otros,105530
paquete0006,10128
paquete0028,5058
paquete0047,3477
paquete0050,3362
paquete0052,3261
para,392156
proceso0002,12669
proceso0014,7461
proceso0019,6446
proceso0020,6084
proceso0022,5931
proceso0030,4834
prueba0015,6949
prueba0021,5935
prueba0028,5012
prueba0043,3624
prueba0062,2859
ranking,16691
registro,33963
registro0002,12294
registro0014,7400
registro0025,5371
registro0032,4679
registro0034,4478
registro0039,3935
registro0046,3619
registro0049,3418
registro0059,2988
relevancia,16609
resultado0032,4710
resultado0033,4519
resultado0043,3808
resultado0059,2919
resultado0060,2869
segmento,26051
segmento0005,10655
segmento0011,8312
segmento0012,7912
segmento0019,6368
segmento0022,5861
segmento0048,3402
segmento0055,3177
serializacion,21505
sus,228913
tabla,18814
tarea0006,10019
tarea0008,9188
tarea0017,6716
tarea0038,4265
tarea0042,3898
tarea0064,2769
termino0005,10746
termino0030,4906
termino0038,4093
termino0056,3033
termino0062,2891
terminos,38763
texto0015,7175
texto0023,5805
texto0028,5005
texto0030,4940
texto0045,3623
texto0048,3642
texto0052,3274
texto0053,3100
token0019,6323
token0026,5377
token0033,4564
token0037,4176
token0041,3887
tokens,37389
transmision,24516
tuya,56635
unos,88794
vector,19503
vector0031,4734
vector0034,4432
vector0042,3742
vector0057,2996
vosotros,61617
worker0003,11647
worker0006,9990
worker0014,7433
worker0029,4903
worker0035,4286
worker0037,4176
worker0043,3853
worker0045,3547
workers,29911
